ID,family,genus,species,taxa,max_lat,min_lat,mid_lat,lat_range,max_size,min_depth,max_depth,midpoint_depth,hab_type
101,Semelidae,Abra,californica,Abra_californica,51,24,37.5,27,21,3480,3900,3690,fine sand
102,Semelidae,Abra,palmeri,Abra_palmeri,31,-3.7,13.65,34.7,10,0,165,82.5,
1106,Semelidae,Abra,profundorum,Abra_profundorum,45,31,38,14,26,1900,5600,3750,fine mud
103,Semelidae,Abra,tepocana,Abra_tepocana,31.7,30.3,31,1.4,12,0,26,13,
1512,Vesicomyidae,Abyssogena,novacula,Abyssogena_novacula,-10.02,-10.02,-10.02,0,277,5528,5528,5528,
268,Arcidae,Acar,bailyi,Acar_bailyi,35.5,-1,17.25,36.5,10,0,5,,
590,Arcidae,Acar,gradata,Acar_gradata,27.8,8.3,18.05,19.5,41,0,37,18.5,
445,Arcidae,Acar,pusilla,Acar_pusilla,-1.3,-30,-15.65,28.7,12,0,,,
591,Arcidae,Acar,rostae,Acar_rostae,28.9,-5.9,11.5,34.8,37,,,0,
340,Limidae,Acesta (Acesta),mori,Acesta (Acesta)_mori,37.4,35.3,36.35,2.1,62,1265,1550,1407.5,
341,Limidae,Acesta (Plicacesta),sphoni,Acesta (Plicacesta)_sphoni,33.4,33.3,33.35,0.1,115,460,750,605,
723,Limidae,Acesta,agassizii,Acesta_agassizii,27.3,7.2,17.25,20.1,116,589,743,666,
1439,Limidae,Acesta,patagonica,Acesta_patagonica,-29.9,-55,-42.45,25.1,88,15,821,418,hard
494,Solemyidae,Acharax,johnsoni,Acharax_johnsoni,60,-12.5,23.75,72.5,150,100,5379,2739.5,
481,Nuculidae,Acila,castrensis,Acila_castrensis,60.4,24.2,42.3,36.2,20,5,400,202.5,
803,Cardiidae,Acrosterigma,pristipleura,Acrosterigma_pristipleura,26.1,-1.8,12.15,27.9,81,0,80,40,
432,Mytilidae,Adipicola cf.,leticiae,Adipicola cf._leticiae,-27,-46.2,-36.6,19.2,20,104,104,104,
764,Thyasiridae,Adontorhina,cyclia,Adontorhina_cyclia,60,7.8,33.9,52.2,3,12,3000,1506,
1455,Thyasiridae,Adontorhina,pisum,Adontorhina_pisum,-42.3,-55,-48.65,12.7,2.5,25,168,96.5,
961,Thyasiridae,Adontorhina,sphaericosa,Adontorhina_sphaericosa,55.3,37.8,46.55,17.5,1.6,95,3000,1547.5,
498,Nuculanidae,Adrana,crenifera,Adrana_crenifera,20.9,-3.8,8.55,24.7,36,8,20,14,
499,Nuculanidae,Adrana,exoptata,Adrana_exoptata,30.3,1,15.65,29.3,24,7,60,33.5,
500,Nuculanidae,Adrana,penascoensis,Adrana_penascoensis,31.7,26.7,29.2,5,43,0,15,7.5,
501,Nuculanidae,Adrana,sowerbyana,Adrana_sowerbyana,22.4,-4.1,9.15,26.5,107,22,26,24,
310,Mytilidae,Adula,californiensis,Adula_californiensis,54,32.7,43.35,21.3,60,,,,hard
544,Mytilinae,Adula,diegensis,Adula_diegensis,43.4,19.1,31.25,24.3,50,0,10,5,
312,Mytilidae,Adula,gruneri,Adula_gruneri,43.4,28.2,35.8,15.2,113,0,5,,hard
313,Mytilidae,Adula,schmidtii,Adula_schmidtii,52.9,51.5,52.2,1.4,45,15,20,17.5,
545,Mytilinae,Adula,soleniformis,Adula_soleniformis,7.9,-5.1,1.4,13,40,0,110,55,
882,Lasaeidae,Aligena,cokeri,Aligena_cokeri,31.4,-3.5,13.95,34.9,10,0,30,15,
886,Lasaeidae,Aligena,muris,Aligena_muris,31,-4.1,13.45,35.1,14,90,133,111.5,
883,Lasaeidae,Aligena,nucea,Aligena_nucea,31.4,-3.5,13.95,34.9,6,0,50,25,
884,Lasaeidae,Aligena,peruviana,Aligena_peruviana,21.5,-5.1,8.2,26.6,12,0,,0,
1464,Lasaeidae,Aligena,sechura,Aligena_sechura,-5.8,-11.8,-8.8,6,10,0,6,,
885,Lasaeidae,Aligena,trigonalis,Aligena_trigonalis,33.6,20.7,27.15,12.9,10,0,68,34,
1529,Veneridae,Ameghinomya,antiqua,Ameghinomya_antiqua,-12.1,-53.2,-32.65,41.1,93,0,65,,"sand, mud, pebbles, mussel community"
1029,Cardiidae,Americardia,biangulata,Americardia_biangulata,34,-1.6,16.2,35.6,45,0,100,50,0 zone
887,Lasaeidae,Amerycina,colpoica,Amerycina_colpoica,27.9,7.4,17.65,20.5,10,0,100,50,
888,Lasaeidae,Amerycina,cultrata,Amerycina_cultrata,31.4,-1.3,15.05,32.7,14,5,100,52.5,
889,Lasaeidae,Amerycina,huberi,Amerycina_huberi,27.9,-1.3,13.3,29.2,11,3,70,36.5,
890,Lasaeidae,Amerycina,mikkelsenae,Amerycina_mikkelsenae,28,-5.5,11.25,33.5,3,0,40,20,
193,Veneridae,Amiantis,callosa,Amiantis_callosa,34.4,24.6,29.5,9.8,130,0,10,5,Sand
579,Modiolinae,Amygdalum,americanum,Amygdalum_americanum,27.9,-5.1,11.4,33,32,4,45,24.5,
580,Modiolinae,Amygdalum,pallidulum,Amygdalum_pallidulum,41,27.9,34.45,13.1,30,40,400,220,
324,Mytilidae,Amygdalum,politum,Amygdalum_politum,41,1.1,21.05,39.9,34,40,400,220,
